Título,Precio_Rango,Ofertas,Pantalla_Tamaño de la pantalla,Pantalla_Tecnología de la pantalla,Pantalla_Luminosidad,Procesador_Procesador,Disco duro_Tipo de disco duro,Gráfica_Salida de vídeo,Conectividad_Lector de tarjetas,Comunicaciones_Versión Bluetooth,Cámara_Función de la cámara,Sonido_Número de altavoces,Alimentación_Batería,Alimentación_Autonomía de la batería,Alimentación_Vatios-hora,Alimentación_Alimentación,Medidas y peso_Material de la carcasa,Medidas y peso_Diseño,Medidas y peso_Profundidad,Medidas y peso_Ancho,Medidas y peso_Peso,Comunicaciones_Estándar wifi,Disco duro_Número de discos duros (instalados),Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Sonido_Sistema de altavoces,Pantalla_Formato de imagen,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,Disco duro_Capacidad de memoria SSD,Alimentación_Número de celdas,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Gráfica_Tipo de memoria gráfica,Gráfica_Tarjeta gráfica,Almacenamiento_Lector óptico,Pantalla_Pantalla,Comunicaciones_Estándar LAN,Tipo,Propiedades de la carcasa_Tipo de caja,Medidas y peso_Alto,Propiedades de la carcasa_Alimentación,Procesador_Zócalo de CPU,Procesador_Número de hilos de ejecución,Procesador_TDP,product_type_group,is_laptop,marca,screen_size_class,screen_width_px,screen_height_px,screen_total_px,screen_resolution_class,SSD_missing,Disco duro_Numero de discos,Comunicaciones_bluetooth,Comunicaciones_lan,Comunicaciones_missing,Comunicaciones_nfc,Comunicaciones_infrarrojos,Comunicaciones_wifidirect,Comunicaciones_ethernet,has_webcam,GPU_missing,has_webcam_from_equipamiento,años_desde_lanzamiento,release_year_missing
"Apple MacBook Air 13"" 2024 M3",1656.85,200,13.6,Retina,500.0,Apple M3 Family,SSD,Thunderbolt,ninguno,5.3,compatible con HD,4.0,lithium,15.0,52.6,30.0,metal,standard,21.5,30.4,1.24,missing,-1,8.192,no_os,other,16:9,54.0,16.0,Unknown,512.0,3,8.0,1.0,4.0,Unified,Apple GPUs,ninguno,None,none,Laptop,missing,1.1,missing,None,12,45.0,Laptop – Standard,1,Apple,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,1,False
"Apple MacBook Air 15"" 2024 M3",1971.335,230,15.3,Retina,500.0,Apple M3 Family,SSD,Thunderbolt,ninguno,5.3,compatible con HD,6.0,lithium,15.0,66.5,35.0,metal,standard,23.8,34.0,1.51,Wi-Fi 6/6E,-1,8.192,no_os,other,16:9,54.0,16.0,Unknown,512.0,3,8.0,1.0,4.0,Unified,Apple GPUs,ninguno,None,none,Laptop,missing,1.2,missing,None,12,45.0,Laptop – Standard,1,Apple,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,1,False
"Apple MacBook Pro 14"" M4 (2024)",3331.8450000000003,136,14.2,Retina,1000.0,Apple M3 Family,SSD,Thunderbolt,integrado,5.3,compatible con HD,6.0,lithium,13.0,70.0,67.0,metal,standard,22.1,31.3,1.6,Wi-Fi 6/6E,1,8.192,macos,altavoces estéreo,16:9,54.0,16.0,Unknown,512.0,3,8.0,1.0,4.0,Unified,Apple GPUs,ninguno,None,none,Laptop,missing,1.6,missing,None,12,45.0,Laptop – Standard,1,Apple,34–37 cm,3024,1964,5939136,>4MP,1,1,1,0,0,0,0,0,0,1,1,1,1,False
ASUS TUF Gaming A15 FA506 (2024),839.355,30,15.6,Full HD,300.0,Intel Core i7,SSD,HDMI,missing,5.2,compatible con HD,2.0,lithium,7.0,48.0,230.0,missing,standard,25.6,35.9,2.3,Wi-Fi 6/6E,1,8.192,no_os,other,16:9,16.0,16.0,ddr5,512.0,3,10.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,none,Laptop,missing,2.3,missing,None,24,55.0,Laptop – Gaming,1,ASUS,37–41 cm,1920,1080,2073600,2–4MP,0,1,1,1,0,0,0,0,0,1,1,1,1,False
GigaByte Aero 16 OLED BKF,1550.6499999999999,29,16.0,UHD+,600.0,Intel Core i7,SSD,HDMI,integrado,5.2,compatible con HD,2.0,lithium,7.0,88.0,240.0,missing,standard,25.5,35.4,1.9,Wi-Fi 6/6E,1,8.192,windows 11 home,other,16:10,24.0,16.0,ddr5,1000.0,4,14.0,1.0,5.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,none,Laptop,missing,2.2,missing,None,24,45.0,Laptop – Gaming,1,GigaByte,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,0,1,1,0,0,0,0,0,0,1,1,1,2,False
"ASUS Zenbook 14 OLED UX3405
UX3405MA-PP606W",1057.725,18,14.0,3K,400.0,Intel Core Ultra,Unknown,HDMI,integrado,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,22.0,31.2,1.2,Wi-Fi 6/6E,1,8.192,windows 11 home,other,16:10,24.0,16.0,lpddr,512.0,4,16.0,3.0,4.0,GDDR6,Intel Arc,ninguno,None,none,Laptop,missing,1.5,missing,None,22,28.0,Laptop – Standard,1,ASUS,34–37 cm,2880,1800,5184000,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,2,False
ASUS ROG Zephyrus G16 GA605,3154.6099999999997,5,16.0,Other,300.0,Others,Unknown,HDMI,integrado,5.4,compatible con HD,4.0,lithium,7.0,90.0,200.0,missing,standard,24.6,35.4,1.85,Wi-Fi 7,1,8.192,windows 11 home,Dolby Atmos,16:10,10.0,16.0,Unknown,1000.0,4,4.0,1.0,4.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,none,Laptop,missing,1.6,missing,None,4,15.0,Laptop – Gaming,1,ASUS,37–41 cm,1920.0,1080.0,2073600.0,2–4MP,0,1,1,0,0,0,0,0,0,1,1,1,1,False
"ASUS Zenbook 14 Duo OLED UX8406
UX8406MA-PZ255W",2185.005,26,14.0,3K,400.0,Intel Core Ultra,SSD,HDMI,missing,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,21.8,31.4,1.65,Wi-Fi 6/6E,1,8.192,windows 11 home,Harman Kardon,16:10,24.0,32.0,lpddr,1000.0,4,16.0,3.0,5.0,GDDR6,Intel Arc,ninguno,None,none,Laptop,missing,2.0,missing,None,22,28.0,Laptop – Standard,1,ASUS,34–37 cm,2880,1800,5184000,>4MP,0,1,1,0,0,0,0,0,0,1,0,1,1,False
ASUS Zenbook 14 OLED UM3406,977.4749999999999,34,14.0,Other,400.0,AMD Ryzen 7,Unknown,HDMI,integrado,5.3,compatible con HD,2.0,lithium,10.0,75.0,65.0,missing,standard,22.0,31.2,1.2,Wi-Fi 6/6E,-1,8.192,no_os,other,16:10,24.0,16.0,Unknown,512.0,4,8.0,3.0,5.0,Shared,Intel Iris,ninguno,OLED,none,Laptop,missing,1.5,missing,None,16,28.0,Laptop – Standard,1,ASUS,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,1,False
"Apple MacBook Air 13"" 2022 M2",1304.335,117,13.6,Other,500.0,Intel Core i5,Unknown,Thunderbolt,ninguno,5.0,compatible con HD,4.0,lithium,15.0,52.6,30.0,metal,standard,21.5,30.4,1.24,missing,-1,8.192,no_os,other,16:9,12.0,16.0,Unknown,512.0,3,10.0,0.0029,4.0,Shared,Intel Iris,ninguno,None,none,Laptop,missing,1.1,missing,None,12,45.0,Laptop – Standard,1,Apple,34–37 cm,1920.0,1080.0,2073600.0,2–4MP,1,-1,1,0,0,0,0,0,0,1,1,1,3,False
